miRNA	transcript	r	p.value	number_of_cell_line	m_mean	t_mean	number_of_sample_without_expression
hsa-let-7a-1	MIRLET7A1HG	-0.153	0.0103	280	12.9814575036938	0.907877049793151	0
hsa-let-7a-2	MIR100HG	-0.0557	0.43	203	12.9784839243591	-1.99043040037169	80
hsa-let-7a-3	MIRLET7BHG	-0.128	0.0332	276	12.9849700630733	-2.19721585634097	3
hsa-let-7b	MIRLET7BHG	0.0625	0.308	268	13.545524806226	-2.19721585634097	3
hsa-let-7c	MIR99AHG	0.644	4.47e-33	270	9.47810209320225	-0.083941655595028	12
hsa-let-7d	MIRLET7A1HG	0.159	0.00858	274	9.60549946015708	1.01953499301318	0
hsa-let-7e	SPACA6	-0.375	0.0378	31	9.49093669881323	-6.98010921815187	259
hsa-let-7f-1	MIRLET7A1HG	-0.194	0.00133	270	12.3695823105152	1.01953499301318	0
hsa-let-7f-2	HUWE1	-0.0438	0.48	263	12.3886889969013	3.92992086643727	0
hsa-let-7g	WDR82	-0.0458	0.45	275	9.3039303128005	5.19738852663348	0
hsa-let-7i	AC048341.1	-0.00953	0.873	283	8.67458494460895	-1.68652880425215	0
hsa-mir-1-1	MIR1-1HG	0.206	0.192	42	4.46062417649019	-6.57831467177009	247
hsa-mir-1-2	MIR133A1HG	0.277	0.000323	164	4.55898835225723	-5.70952192571397	118
hsa-mir-100	MIR100HG	0.353	1.65e-07	209	10.9850486830787	-1.99043040037169	80
hsa-mir-101-1	JAK1	-0.185	0.0119	185	11.5632909242592	-1.92694663811866	91
hsa-mir-101-2	RCL1	0.126	0.041	265	11.5813132731795	3.8565293631207	0
hsa-mir-103a-1	PANK3	0.0732	0.227	274	13.1245871318808	3.52926002379213	0
hsa-mir-103a-2	PANK2	0.211	0.000346	283	13.1272416219524	3.84267158969237	0
hsa-mir-105-1	GABRA3	0.841	1.71e-36	132	2.80787828956918	-2.08197966507945	159
hsa-mir-105-2	GABRA3	0.849	1.27e-37	131	2.78800227160975	-2.08197966507945	160
hsa-mir-106a	AC002407.1	-0.096	0.655	24	4.11283844407279	-9.83993325234826	263
hsa-mir-106b	MCM7	0.279	2.85e-06	273	9.38198476829836	6.86932493402419	0
hsa-mir-107	PANK1	0.153	0.0106	280	6.17038215495128	3.43220113946121	0
hsa-mir-10a	AC103702.1	0.466	1.21e-14	246	16.2757096862947	-2.1954379474741	31
hsa-mir-10a	HOXB3	0.554	1.98e-23	274	16.2757096862947	2.28608641752909	4
hsa-mir-10b	HOXD3	0.379	0.109	19	15.2076195106343	-5.83009682148209	271
hsa-mir-1178	CIT	0.939	0.223	3	-9.1175367598446	2.08949997852937	288
hsa-mir-1180	B9D1	0.406	2.99e-12	273	4.24371417939911	3.5649121304639	0
hsa-mir-1181	CDC37	0.0258	0.705	218	-0.809662702954225	7.36798110987709	64
hsa-mir-1182	FAM89A	-0.371	0.758	3	-8.04808153735074	3.14669465097709	288
hsa-mir-1199	MISP3	0.182	0.471	18	-5.59912318280178	4.1818151684122	270
hsa-mir-1204	PVT1	-0.356	0.768	3	-8.10211417508197	3.19531579065824	288
hsa-mir-122	MIR122HG	-0.903	0.00213	8	0.251204456121082	-8.26047744512121	280
hsa-mir-1224	VWA5B2	0.595	1.17e-17	170	1.78471793599564	-1.21574893018895	110
hsa-mir-1225	PKD1	-0.442	0.00542	38	-4.1924034563188	3.43833968064417	248
hsa-mir-1226	DHX30	0.0823	0.199	245	0.71907047394126	4.69419985057413	23
hsa-mir-1227	PLEKHJ1	0.0764	0.457	97	-2.34977918677761	6.72241341441016	187
hsa-mir-1228	LRP1	-0.00309	0.961	251	0.180652663369052	4.6147770839345	30
hsa-mir-1229	MGAT4B	0.107	0.127	203	-0.478824721002494	7.46718821964655	71
hsa-mir-1231	NAV1	-0.357	0.16	17	-5.50926375156042	1.84270576748599	271
hsa-mir-1234	CPSF1	-0.217	0.0852	64	-3.56799067146214	4.99009900617306	221
hsa-mir-1236	NELFE	0.297	0.192	21	-5.19076199047981	6.1860677515808	266
hsa-mir-1237	RPS6KA4	0.054	0.635	80	-3.37824921742079	4.66815466812392	203
hsa-mir-1238	ATG4D	0.149	0.531	20	-5.51590211235884	4.38500047416411	268
hsa-mir-124-1	MIR124-1HG	0.661	0.224	5	-4.48903560360684	-7.71228775599845	285
hsa-mir-1243	ANK2	-0.299	0.0967	32	-5.2152438964847	-2.09721891770146	258
hsa-mir-1244-1	PTMA	0.146	0.73	8	-6.69594958938418	11.0209298778218	282
hsa-mir-1245a	COL3A1	0.44	1.75e-13	255	0.702756173414987	8.9444990808663	24
hsa-mir-1247	DIO3OS	0.762	2.57e-55	285	8.31431333843751	3.06754466328482	4
hsa-mir-1248	EIF4A2	-0.168	0.00544	272	1.88454816441116	7.7705040994416	6
hsa-mir-1248	SNORA81	0.479	0.136	11	1.88454816441116	4.4778247946906	278
hsa-mir-1249	KIAA0930	-0.00369	0.952	266	1.0609018929201	4.92880998270114	6
hsa-mir-1250	AATK	0.043	0.777	46	-3.82480321710595	0.477395132113006	245
hsa-mir-1251	RMST	-0.592	0.161	7	-4.734151433129	-7.25051585735803	284
hsa-mir-1252	SYT1	-0.00045	0.998	21	-5.47845795602803	0.616474274585961	268
hsa-mir-1254-1	CCAR1	-0.0544	0.433	210	-0.930246476231093	4.61319677873933	73
hsa-mir-1255a	PPP3CA	-0.104	0.148	196	-1.09027568877863	3.8664009696799	88
hsa-mir-1256	EIF4G3	-0.122	0.3	74	-3.43412859478084	4.05365719735409	214
hsa-mir-1257	TAF4	0.427	0.0877	17	-3.96325744447756	-4.58999708922973	272
hsa-mir-1258	ZNF385B	0.268	0.00723	99	-1.5976732794893	-3.67625343543051	191
hsa-mir-125a	SPACA6	0.0982	0.405	74	8.79061297093867	-4.58877863800292	213
hsa-mir-125b-1	MIR100HG	0.657	2.48e-36	283	7.5067039888355	1.23585191516959	0
hsa-mir-125b-2	MIR99AHG	0.56	2.58e-23	266	7.5450885743372	-0.0272184509062858	10
hsa-mir-126	EGFL7	0.0481	0.427	275	10.6949013023233	3.84719062846075	0
hsa-mir-1262	WLS	0.104	0.0982	252	0.0278928391523821	5.02058612483113	24
hsa-mir-1266	MYO5C	0.486	2.43e-18	286	4.40405418623654	3.35399385737047	1
hsa-mir-1267	FAM155A	0.236	0.652	6	-7.13370721683508	-2.33199489790234	284
hsa-mir-127	AL117190.1	0.185	0.311	32	9.95141024736033	-7.55322901644953	252
hsa-mir-1271	ARL10	0.0781	0.197	274	0.98189910695818	-0.79830436271407	12
hsa-mir-1273c	TIAM2	-0.304	0.618	5	-7.05221690884651	1.33907469295841	283
hsa-mir-1273h	PRKCB	-0.383	0.0535	26	-5.19202336149167	0.33742137556843	262
hsa-mir-1276	KLHL25	0.164	0.0481	145	-2.2282347356523	2.31271470195676	143
hsa-mir-1277	WDR44	-0.125	0.0488	248	0.226669930418184	2.39724246940646	37
hsa-mir-1278	CDC73	0.0546	0.719	46	-4.50147980890969	3.81693517358505	243
hsa-mir-128-1	R3HDM1	0.292	8.64e-07	275	6.48717237759164	3.54851983097354	0
hsa-mir-128-2	ARPP21	-0.519	0.000424	42	5.95941368118339	-7.05576183197816	246
hsa-mir-1284	AC097634.4	-0.0635	0.63	60	-1.87660656508075	-4.14143914126048	231
hsa-mir-1284	FOXP1	0.0427	0.581	169	-1.87660656508075	2.36719548844432	113
hsa-mir-1285-1	AC000120.1	0.0883	0.754	15	-5.51492201149212	-2.13103510816007	276
hsa-mir-1285-1	AC000120.3	-0.0399	0.888	15	-5.51492201149212	-1.25194732874659	276
hsa-mir-1285-1	KRIT1	0.226	0.4	16	-5.51492201149212	3.56549108983517	275
hsa-mir-1286	RTN4R	0.459	0.0107	30	-4.77579130913335	2.2475311100346	259
hsa-mir-1287	PYROXD2	0.518	5.35e-21	285	4.17678545012584	1.29589470675707	0
hsa-mir-1288	PIGL	0.093	0.157	233	-0.861114972066831	2.08904188388881	53
hsa-mir-1289-1	GDF5	0.979	0.129	3	-5.44015364315473	-9.72244603510303	288
hsa-mir-129-2	AC068205.1	-0.234	0.489	11	2.32400245166057	-7.95897731323181	280
hsa-mir-129-2	AC068205.2	-0.0641	0.82	15	2.32400245166057	-8.15072725548545	273
hsa-mir-1290	ALDH4A1	0.478	0.337	6	-7.35264638636346	4.06279447489092	284
hsa-mir-1291	KANSL2	-0.0607	0.355	234	0.12054319879147	4.12228253431424	43
hsa-mir-1291	SNORA2C	0.0596	0.694	46	0.12054319879147	2.98870757796085	235
hsa-mir-1292	NOP56	0.252	1e-04	234	-0.401839156073003	6.08205651637694	43
hsa-mir-1293	LIMA1	0.0211	0.787	166	-1.00172547340755	5.08014471413904	116
hsa-mir-1294	AC008625.1	-0.053	0.797	26	-1.58795598381037	-4.95146734085588	261
hsa-mir-1294	GALNT10	0.0353	0.632	186	-1.58795598381037	4.06686797516267	104
hsa-mir-1295a	BX284613.2	0.214	0.00582	164	-1.19373185566119	-3.53817897579452	122
hsa-mir-1295b	FMO3	0.351	0.0331	37	-4.4181664448998	-0.546487970901591	251
hsa-mir-1296	JMJD1C	-0.0363	0.552	271	2.9106043621393	-0.017042929598814	1
hsa-mir-1298	HTR2C	0.029	0.956	6	-4.97150519600068	-4.79737121423754	285
hsa-mir-1301	DNMT3A	0.179	0.00305	271	2.83963129955947	1.24058267571414	0
hsa-mir-1304	TAF1D	0.257	3.51e-05	253	2.95096776009944	5.80975703019177	22
hsa-mir-1305	TENM3	0.306	0.0291	51	-3.45251951917208	-3.57563371128351	240
hsa-mir-1306	DGCR8	0.0272	0.657	268	3.47159535202494	2.87592190347907	0
hsa-mir-1307	ATP5MD	0.332	2.21e-08	270	10.9496544634955	8.52210535836332	0
hsa-mir-130a	AP000662.1	-0.00905	0.925	112	5.11621325187121	-5.51999797712358	172
hsa-mir-130b	AP000553.1	0.153	0.0165	246	5.3533804802058	-2.81988399459008	43
hsa-mir-1322	AC105001.2	-0.484	0.409	5	-6.28094627151868	-4.73723531906988	285
hsa-mir-1322	PINX1	0.0417	0.887	14	-6.28094627151868	3.5412501403047	275
hsa-mir-133a-1	MIR133A1HG	0.417	2.75e-08	164	4.25620817821101	-5.79567503324802	116
hsa-mir-133a-2	MIR1-1HG	0.198	0.215	41	4.12018556255001	-6.57831467177009	246
hsa-mir-1343	PDHX	0.153	0.0229	221	-0.103794999652588	4.08069977840153	54
hsa-mir-135a-1	GLYCTK-AS1	0.135	0.328	55	-2.03905150642196	-1.33981504072803	235
hsa-mir-135a-2	RMST	0.266	0.287	18	-2.60639981530562	-7.03571549948025	272
hsa-mir-135b	BLACAT1	0.642	2.59e-32	266	6.11219017317429	0.746857190723361	9
hsa-mir-135b	LEMD1	0.414	2.68e-10	215	6.11219017317429	0.374643505279712	73
hsa-mir-136	AL117190.1	0.319	0.058	36	4.79247925691237	-7.55322901644953	253
hsa-mir-137	MIR137HG	0.163	0.32	39	-1.67353320020773	-7.29023449638058	249
hsa-mir-139	PDE2A	0.57	4.59e-25	275	5.97424499854796	0.27903188635237	0
hsa-mir-140	WWP2	0.172	0.00565	259	9.82431116301244	4.461078262445	0
hsa-mir-141	MIR200CHG	0.203	0.000846	267	10.7109604604784	3.80644817104879	3
hsa-mir-142	AC004687.1	0.451	6.89e-15	269	10.966262594215	0.317784158679894	1
hsa-mir-143	CARMN	0.448	2.52e-15	282	17.3719520718852	1.71483178911577	0
hsa-mir-144	AC024267.1	-0.239	0.285	22	6.22083291561132	-7.79069159344626	261
hsa-mir-145	CARMN	0.55	3.76e-23	275	11.8570426753005	1.71483178911577	0
hsa-mir-146a	MIR3142HG	0.711	7.59e-45	283	7.89530401568995	0.812032267448882	0
hsa-mir-147b	C15orf48	0.471	4.75e-16	265	2.10652362728499	8.01180462261922	15
hsa-mir-148b	AC078778.1	0.00866	0.906	188	6.98637563612458	-3.17492699381688	98
hsa-mir-148b	COPZ1	0.175	0.00408	269	6.98637563612458	7.21820478193693	0
hsa-mir-149	GPC1	0.249	3.42e-05	271	4.28346616246879	3.68918912081764	0
hsa-mir-151a	PTK2	0.483	1.75e-17	275	11.5124977025117	5.17897246845046	0
hsa-mir-152	COPZ2	0.598	2.16e-28	279	7.6291227036391	2.79445142996806	1
hsa-mir-153-1	PTPRN	-0.0413	0.522	242	0.829222115596466	-0.577121109268855	45
hsa-mir-153-2	PTPRN2	0.522	1.84e-20	273	5.02809755694626	3.4943953799634	5
hsa-mir-1537	LYST	0.0445	0.606	137	-2.27483294642871	1.15876569253572	151
hsa-mir-1539	AC100778.3	-0.859	0.0132	7	-4.99294038091481	-5.56019701780828	282
